,city,admin,population,lat,lng,iso2,capital,country
0,Colombo,Western,648034,6.935,79.84899999999999,LK,,Sri Lanka
1,Dehiwala,Western,219827,6.84,79.87100000000001,LK,,Sri Lanka
2,Moratuwa,Western,185031,6.773,79.882,LK,,Sri Lanka
3,Jaffna,Northern Province,169102,9.668,80.007,LK,,Sri Lanka
4,Negombo,Western,137223,7.207999999999999,79.836,LK,,Sri Lanka
5,Pita Kotte,Western,118179,6.891,79.90100000000001,LK,,Sri Lanka
6,Sri Jayewardenepura Kotte,Western,115826,6.882999999999999,79.907,LK,,Sri Lanka
7,Kandy,Central,111701,7.291,80.634,LK,,Sri Lanka
8,Trincomalee,Eastern Province,108420,8.578,81.229,LK,,Sri Lanka
9,Kalmunai,Eastern Province,100171,7.409,81.835,LK,,Sri Lanka
10,Galle,Southern,93118,6.046,80.21,LK,,Sri Lanka
11,Point Pedro,Northern Province,89810,9.817,80.233,LK,,Sri Lanka
