,city,country,lat,lon,column6
0,Cardiff,Pays de Galles,51.4833,-3.18333,0
1,Amsterdam,Pays-Bas,52.3667,4.9,0
2,Belfast,Irlande du Nord,54.5969,-5.93,0
3,Rome,Italie,41.9,12.5,0
4,Oslo,Norvège,59.95,10.75,0
5,Londres,Royaume-Uni,51.5072,-0.1275,0
6,Douglas,Île de Man,54.145,-4.482,1
7,Bucarest,Roumanie,44.4325,26.1039,0
8,Berlin,Allemagne,52.5167,13.3833,0
9,Vaduz,Liechtenstein,47.141,9.521,0
13,Bruxelles,Belgique,50.85,4.35,0
15,Madrid,Espagne,40.3833,-3.71667,0
16,Sofia,Bulgarie,42.7,23.33,0
17,Belgrade,Serbie,44.8167,20.4667,0
18,Skopje,Macédoine,42.0,21.4333,0
19,Erevan,Arménie,40.1833,44.5167,1
20,Zagreb,Croatie,45.8167,15.9833,1
21,La Valette,Malte,35.8978,14.5125,1
22,Monaco,Monaco,43.7167,7.41667,1
23,Podgorica,Monténégro,42.4413,19.2629,0
24,Sarajevo,Bosnie-Herzégovine,43.8667,18.4167,0
25,Minsk,Biélorussie,53.9,27.5667,0
26,Stepanakert,Haut-Karabagh,39.8153,46.7519,1
28,Prague,République tchèque,50.0833,14.4167,0
30,Berne,Suisse,46.9524,7.43958,0
31,Chișinău,Moldavie,47.0,28.9167,0
32,Nicosie,Chypre,35.1667,33.3667,1
33,Vilnius,Lituanie,54.6833,25.2833,0
34,Ljubljana,Slovénie,46.0556,14.5083,0
35,Copenhague,Danemark,55.6761,12.5683,0
36,Budapest,Hongrie,47.4925,19.0514,0
37,Moscou,Russie,55.7517,37.6178,0
39,Tallinn,Estonie,59.4372,24.7453,0
41,Bratislava,Slovaquie,48.1439,17.1097,0
42,Paris,France,48.8567,2.3508,0
43,Nuuk,Groenland,64.1667,-51.7389,1
44,Édimbourg,Écosse,55.9531,-3.18889,0
45,Vienne,Autriche,48.2,16.3667,0
46,Kiev,Ukraine,50.45,30.5233,0
47,Riga,Lettonie,56.9489,24.1064,0
48,Lisbonne,Portugal,38.7138,-9.13944,0
50,Andorre-la-Vieille,Andorre,42.5,1.5,0
52,Varsovie,Pologne,52.2333,21.0167,0
53,Tbilissi,Géorgie,41.7167,44.7833,1
54,La Haye,Pays-Bas,52.0833,4.31667,0
55,Ankara,Turquie,39.9333,32.8667,0
56,Stockholm,Suède,59.3294,18.0686,0
57,Ville de Saint-Marin,Saint-Marin,43.9346,12.4473,1
58,Reykjavik,Islande,64.1333,-21.9333,1
59,Bakou,Azerbaïdjan,40.3953,49.8822,1
60,Pristina,Kosovo,42.6667,21.1667,0
61,Dublin,Irlande,53.3478,-6.25972,0
62,Saint-Hélier,Jersey,49.187,-2.107,1
63,Vatican,Vatican,41.9,12.45,0
