,city,country,lat,lon
0,Tarawa-Sud,Kiribati,1.43333,173.0
1,Majuro,Îles Marshall,7.066669999999999,171.26700000000005
2,Suva,Fidji,-18.1416,178.442
3,Nouméa,Nouvelle Calédonie,-22.2758,166.45799999999997
4,Apia,Samoa,-13.8333,188.25
5,Wellington,Nouvelle-Zélande,-41.2889,174.77700000000004
6,Mata-Utu,Wallis-et-Futuna,-13.2833,183.817
7,Hagåtña,Guam,13.4833,144.75
8,Papeete,Polynésie française,-17.535,210.43
9,Alofi (Niue),Nive,-19.05,190.1
10,Nukuʻalofa,Tonga,-21.1333,184.8
11,Ngerulmud,Palaos,7.500560000000001,134.62400000000002
12,Palikir,Micronésie,6.9172199999999995,158.159
13,Funafuti,Tuvalu,-8.5,179.19900000000007
14,Yaren,Nauru,-0.5477,166.92100000000005
16,Honiara,Îles Salomon,-9.435089999999999,159.95100000000002
17,Adamstown,Îles Pitcairn,-25.0667,229.9
18,Avarua,Îles Cook,-21.2,200.233
19,Pago Pago,Samoa américaines,-14.2794,189.299
20,Saipan,Îles Mariannes du Nord,15.1808,145.75599999999997
21,Kingston (Norfolk),Île de Norfolk,29.05,167.96699999999998
22,Canberra,Australie,-35.3075,149.12400000000002
23,Port-Vila,Vanuatu,-17.75,168.29999999999995
